datetime;covid_cases;covid_hospital;covid_deaths
2021/01/02 00:00:00+00;51814;1354;517
2021/01/03 00:00:00+00;52063;1356;522
2021/01/04 00:00:00+00;52281;1361;525
2021/01/05 00:00:00+00;52498;1361;531
2021/01/06 00:00:00+00;52835;1361;534
2021/01/07 00:00:00+00;53204;1366;539
2021/01/08 00:00:00+00;53502;1367;540
2021/01/09 00:00:00+00;53686;1371;543
2021/01/10 00:00:00+00;53931;1376;546
2021/01/11 00:00:00+00;54121;1377;549
2021/01/12 00:00:00+00;54373;1393;555
2021/01/13 00:00:00+00;54522;1399;562
2021/01/14 00:00:00+00;54894;1404;564
2021/01/15 00:00:00+00;55165;1406;564
2021/01/16 00:00:00+00;55351;1412;569
2021/01/17 00:00:00+00;55639;1415;574
2021/01/18 00:00:00+00;55807;1422;578
2021/01/19 00:00:00+00;56004;1427;580
2021/01/20 00:00:00+00;56167;1431;581
2021/01/21 00:00:00+00;56411;1433;583
2021/01/22 00:00:00+00;56653;1435;587
2021/01/23 00:00:00+00;56867;1441;592
2021/01/24 00:00:00+00;57104;1447;594
2021/01/25 00:00:00+00;57207;1451;598
2021/01/26 00:00:00+00;57408;1455;601
2021/01/27 00:00:00+00;57549;1460;602
2021/01/28 00:00:00+00;57753;1466;604
2021/01/29 00:00:00+00;57918;1470;608
2021/01/30 00:00:00+00;58094;1480;612
2021/01/31 00:00:00+00;58309;1487;616
2021/02/01 00:00:00+00;58422;1489;616
2021/02/02 00:00:00+00;58553;1493;621
2021/02/03 00:00:00+00;58702;1497;626
2021/02/04 00:00:00+00;58879;1497;627
2021/02/05 00:00:00+00;59124;1504;631
2021/02/06 00:00:00+00;59254;1509;632
2021/02/07 00:00:00+00;59411;1513;635
2021/02/08 00:00:00+00;59456;1518;637
2021/02/09 00:00:00+00;59557;1520;639
2021/02/10 00:00:00+00;59682;1520;641
2021/02/11 00:00:00+00;59930;1524;643
2021/02/12 00:00:00+00;60126;1527;643
2021/02/13 00:00:00+00;60275;1528;645
