"datetime","trend","stringency_index","inverse_stringency_index"
2020-09-02 16:30:00,127.158417098378,50.93,49.07
2020-09-02 16:45:00,127.210086105708,50.93,49.07
2020-09-02 17:00:00,127.261755113037,50.93,49.07
2020-09-02 17:15:00,127.313424120367,50.93,49.07
2020-09-02 17:30:00,127.365093127696,50.93,49.07
2020-09-02 17:45:00,127.416762135026,50.93,49.07
2020-09-02 18:00:00,127.468431142356,50.93,49.07
2020-09-02 18:15:00,127.520100149685,50.93,49.07
2020-09-02 18:30:00,127.571769157015,50.93,49.07
2020-09-02 18:45:00,127.623438164344,50.93,49.07
2020-09-02 19:00:00,127.675107171674,50.93,49.07
2020-09-02 19:15:00,127.726776179004,50.93,49.07
2020-09-02 19:30:00,127.778445186333,50.93,49.07
2020-09-02 19:45:00,127.830114193663,50.93,49.07
2020-09-02 20:00:00,127.881783200992,50.93,49.07
2020-09-02 20:15:00,127.933452208322,50.93,49.07
2020-09-02 20:30:00,127.985121215652,50.93,49.07
2020-09-02 20:45:00,128.036790222981,50.93,49.07
2020-09-02 21:00:00,128.088459230311,50.93,49.07
2020-09-02 21:15:00,128.14012823764,50.93,49.07
2020-09-02 21:30:00,128.19179724497,50.93,49.07
2020-09-02 21:45:00,128.2434662523,50.93,49.07
2020-09-02 22:00:00,128.295135259629,50.93,49.07
2020-09-02 22:15:00,128.346804266959,50.93,49.07
2020-09-02 22:30:00,128.398473274288,50.93,49.07
2020-09-02 22:45:00,128.450142281618,50.93,49.07
2020-09-02 23:00:00,128.501811288948,50.93,49.07
2020-09-02 23:15:00,128.553480296277,50.93,49.07
2020-09-02 23:30:00,128.605149303607,50.93,49.07
2020-09-02 23:45:00,128.656818310936,50.93,49.07
2020-09-03 00:00:00,128.708487318266,50.93,49.07
2020-09-03 00:15:00,128.760156325596,50.93,49.07
2020-09-03 00:30:00,128.811825332925,50.93,49.07
2020-09-03 00:45:00,128.863494340255,50.93,49.07
2020-09-03 01:00:00,128.915163347584,50.93,49.07
2020-09-03 01:15:00,128.966832354914,50.93,49.07
2020-09-03 01:30:00,129.018501362244,50.93,49.07
2020-09-03 01:45:00,129.070170369573,50.93,49.07
2020-09-03 02:00:00,129.121839376903,50.93,49.07
2020-09-03 02:15:00,129.173508384232,50.93,49.07
2020-09-03 02:30:00,129.225177391562,50.93,49.07
2020-09-03 02:45:00,129.276846398892,50.93,49.07
2020-09-03 03:00:00,129.328515406221,50.93,49.07
2020-09-03 03:15:00,129.380184413551,50.93,49.07
2020-09-03 03:30:00,129.43185342088,50.93,49.07
2020-09-03 03:45:00,129.48352242821,50.93,49.07
2020-09-03 04:00:00,129.53519143554,50.93,49.07
2020-09-03 04:15:00,129.586860442869,50.93,49.07
2020-09-03 04:30:00,129.638529450199,50.93,49.07
2020-09-03 04:45:00,129.690198457528,50.93,49.07
2020-09-03 05:00:00,129.741867464858,50.93,49.07
2020-09-03 05:15:00,129.793536472187,50.93,49.07
2020-09-03 05:30:00,129.845205479517,50.93,49.07
2020-09-03 05:45:00,129.896874486847,50.93,49.07
2020-09-03 06:00:00,129.948543494176,50.93,49.07
2020-09-03 06:15:00,130.000212501506,50.93,49.07
2020-09-03 06:30:00,130.051881508835,50.93,49.07
2020-09-03 06:45:00,130.103550516165,50.93,49.07
2020-09-03 07:00:00,130.155219523495,50.93,49.07
2020-09-03 07:15:00,130.197385820719,50.93,49.07
2020-09-03 07:30:00,130.239552117944,50.93,49.07
2020-09-03 07:45:00,130.281718415169,50.93,49.07
2020-09-03 08:00:00,130.323884712393,50.93,49.07
2020-09-03 08:15:00,130.366051009618,50.93,49.07
2020-09-03 08:30:00,130.408217306843,50.93,49.07
2020-09-03 08:45:00,130.450383604068,50.93,49.07
2020-09-03 09:00:00,130.492549901292,50.93,49.07
2020-09-03 09:15:00,130.534716198517,50.93,49.07
2020-09-03 09:30:00,130.576882495742,50.93,49.07
2020-09-03 09:45:00,130.619048792966,50.93,49.07
2020-09-03 10:00:00,130.661215090191,50.93,49.07
2020-09-03 10:15:00,130.703381387416,50.93,49.07
2020-09-03 10:30:00,130.74554768464,50.93,49.07
2020-09-03 10:45:00,130.787713981865,50.93,49.07
2020-09-03 11:00:00,130.82988027909,50.93,49.07
2020-09-03 11:15:00,130.872046576315,50.93,49.07
2020-09-03 11:30:00,130.914212873539,50.93,49.07
2020-09-03 11:45:00,130.956379170764,50.93,49.07
2020-09-03 12:00:00,130.998545467989,50.93,49.07
2020-09-03 12:15:00,131.040711765213,50.93,49.07
2020-09-03 12:30:00,131.082878062438,50.93,49.07
2020-09-03 12:45:00,131.125044359663,50.93,49.07
2020-09-03 13:00:00,131.167210656887,50.93,49.07
2020-09-03 13:15:00,131.209376954112,50.93,49.07
2020-09-03 13:30:00,131.251543251337,50.93,49.07
2020-09-03 13:45:00,131.293709548562,50.93,49.07
2020-09-03 14:00:00,131.335875845786,50.93,49.07
2020-09-03 14:15:00,131.378042143011,50.93,49.07
2020-09-03 14:30:00,131.420208440236,50.93,49.07
2020-09-03 14:45:00,131.46237473746,50.93,49.07
2020-09-03 15:00:00,131.504541034685,50.93,49.07
2020-09-03 15:15:00,131.54670733191,50.93,49.07
2020-09-03 15:30:00,131.588873629134,50.93,49.07
2020-09-03 15:45:00,131.631039926359,50.93,49.07
2020-09-03 16:00:00,131.673206223584,50.93,49.07
2020-09-03 16:15:00,131.715372520809,50.93,49.07
2020-09-03 16:30:00,131.757538818033,50.93,49.07
2020-09-03 16:45:00,131.799705115258,50.93,49.07
2020-09-03 17:00:00,131.841871412483,50.93,49.07
2020-09-03 17:15:00,131.884037709707,50.93,49.07
2020-09-03 17:30:00,131.926204006932,50.93,49.07
2020-09-03 17:45:00,131.968370304157,50.93,49.07
2020-09-03 18:00:00,132.010536601382,50.93,49.07
2020-09-03 18:15:00,132.052702898606,50.93,49.07
2020-09-03 18:30:00,132.094869195831,50.93,49.07
2020-09-03 18:45:00,132.137035493056,50.93,49.07
