datetime,prediction
2021-12-10 20:45:00,86.59026
2021-12-10 21:00:00,80.078094
2021-12-10 21:15:00,73.098694
2021-12-10 21:30:00,70.839554
2021-12-10 21:45:00,68.634285
2021-12-10 22:00:00,65.746635
2021-12-10 22:15:00,62.79972
2021-12-10 22:30:00,63.042866
2021-12-10 22:45:00,62.50173
2021-12-10 23:00:00,63.19218
2021-12-10 23:15:00,60.667553
2021-12-10 23:30:00,59.25757
2021-12-10 23:45:00,56.16408
2021-12-11 00:00:00,52.164433
2021-12-11 00:15:00,48.70969
2021-12-11 00:30:00,40.76198
2021-12-11 00:45:00,32.217934
2021-12-11 01:00:00,25.116692
2021-12-11 01:15:00,24.387337
2021-12-11 01:30:00,27.077156
2021-12-11 01:45:00,29.41732
2021-12-11 02:00:00,30.046715
2021-12-11 02:15:00,30.212082
2021-12-11 02:30:00,30.320496
2021-12-11 02:45:00,30.292427
2021-12-11 03:00:00,30.278633
2021-12-11 03:15:00,30.263054
2021-12-11 03:30:00,30.21994
2021-12-11 03:45:00,30.160027
2021-12-11 04:00:00,30.042458
2021-12-11 04:15:00,29.93856
2021-12-11 04:30:00,29.809212
2021-12-11 04:45:00,29.68821
2021-12-11 05:00:00,29.53302
2021-12-11 05:15:00,29.367348
2021-12-11 05:30:00,29.518585
2021-12-11 05:45:00,29.496002
2021-12-11 06:00:00,29.372765
2021-12-11 06:15:00,29.283875
2021-12-11 06:30:00,29.67614
2021-12-11 06:45:00,29.909386
2021-12-11 07:00:00,29.912865
2021-12-11 07:15:00,30.141449
2021-12-11 07:30:00,32.617897
2021-12-11 07:45:00,34.143707
2021-12-11 08:00:00,35.662575
2021-12-11 08:15:00,37.37124
2021-12-11 08:30:00,37.37477
2021-12-11 08:45:00,39.138863
2021-12-11 09:00:00,42.153328
2021-12-11 09:15:00,45.4955
2021-12-11 09:30:00,53.51578
2021-12-11 09:45:00,59.218197
2021-12-11 10:00:00,66.99078
2021-12-11 10:15:00,77.271965
2021-12-11 10:30:00,94.18588
2021-12-11 10:45:00,108.44803
2021-12-11 11:00:00,116.328224
2021-12-11 11:15:00,135.48267
2021-12-11 11:30:00,186.11578
2021-12-11 11:45:00,226.26553
2021-12-11 12:00:00,247.10898
2021-12-11 12:15:00,254.6329
2021-12-11 12:30:00,266.05386
2021-12-11 12:45:00,260.93564
2021-12-11 13:00:00,253.8187
2021-12-11 13:15:00,261.9871
2021-12-11 13:30:00,271.6997
2021-12-11 13:45:00,284.7903
2021-12-11 14:00:00,287.87946
