datetime,prediction
2021-12-10 22:00:00,15.205513
2021-12-10 22:15:00,15.436729
2021-12-10 22:30:00,15.532944
2021-12-10 22:45:00,15.484489
2021-12-10 23:00:00,15.450531
2021-12-10 23:15:00,15.423813
2021-12-10 23:30:00,15.406258
2021-12-10 23:45:00,15.383034
2021-12-11 00:00:00,15.361465
2021-12-11 00:15:00,15.356659
2021-12-11 00:30:00,15.340523
2021-12-11 00:45:00,15.33857
2021-12-11 01:00:00,15.305641
2021-12-11 01:15:00,15.256142
2021-12-11 01:30:00,15.202507
2021-12-11 01:45:00,15.1226425
2021-12-11 02:00:00,14.953735
2021-12-11 02:15:00,14.756836
2021-12-11 02:30:00,14.44516
2021-12-11 02:45:00,14.0037
2021-12-11 03:00:00,13.261322
2021-12-11 03:15:00,12.329933
2021-12-11 03:30:00,11.143112
2021-12-11 03:45:00,9.687874
2021-12-11 04:00:00,7.922722
2021-12-11 04:15:00,6.060425
2021-12-11 04:30:00,4.144699
2021-12-11 04:45:00,2.3355637
2021-12-11 05:00:00,0.7585449
2021-12-11 05:15:00,-0.47701263
2021-12-11 05:30:00,-1.7669983
2021-12-11 05:45:00,-2.1424332
2021-12-11 06:00:00,-2.0150452
2021-12-11 06:15:00,-1.6072388
2021-12-11 06:30:00,-2.0301285
2021-12-11 06:45:00,-1.1630936
2021-12-11 07:00:00,-0.2964859
2021-12-11 07:15:00,0.70404816
2021-12-11 07:30:00,0.56066895
2021-12-11 07:45:00,2.0045319
2021-12-11 08:00:00,3.2074738
2021-12-11 08:15:00,5.406044
2021-12-11 08:30:00,9.419479
2021-12-11 08:45:00,14.359077
2021-12-11 09:00:00,18.677544
2021-12-11 09:15:00,21.005684
2021-12-11 09:30:00,22.837685
2021-12-11 09:45:00,23.901001
2021-12-11 10:00:00,24.864738
2021-12-11 10:15:00,27.69181
2021-12-11 10:30:00,43.97016
2021-12-11 10:45:00,62.621063
2021-12-11 11:00:00,72.60332
2021-12-11 11:15:00,78.20302
2021-12-11 11:30:00,104.3156
2021-12-11 11:45:00,122.52102
2021-12-11 12:00:00,131.44052
2021-12-11 12:15:00,147.11334
2021-12-11 12:30:00,144.78291
2021-12-11 12:45:00,171.68704
2021-12-11 13:00:00,236.75343
2021-12-11 13:15:00,287.8284
2021-12-11 13:30:00,327.19034
2021-12-11 13:45:00,377.45032
2021-12-11 14:00:00,412.82645
2021-12-11 14:15:00,428.49698
2021-12-11 14:30:00,433.98938
2021-12-11 14:45:00,445.29965
2021-12-11 15:00:00,441.50378
2021-12-11 15:15:00,436.3464
2021-12-11 15:30:00,457.17487
2021-12-11 15:45:00,468.15125
2021-12-11 16:00:00,465.89792
2021-12-11 16:15:00,465.68716
2021-12-11 16:30:00,473.22253
2021-12-11 16:45:00,470.69812
2021-12-11 17:00:00,483.08264
2021-12-11 17:15:00,458.96844
2021-12-11 17:30:00,346.6846
2021-12-11 17:45:00,250.80182
2021-12-11 18:00:00,221.18999
2021-12-11 18:15:00,181.8982
2021-12-11 18:30:00,177.43613
2021-12-11 18:45:00,171.04042
2021-12-11 19:00:00,154.40843
2021-12-11 19:15:00,141.19281
2021-12-11 19:30:00,107.35884
2021-12-11 19:45:00,64.72534
2021-12-11 20:00:00,52.080544
2021-12-11 20:15:00,43.833008
2021-12-11 20:30:00,43.793633
2021-12-11 20:45:00,44.54682
2021-12-11 21:00:00,43.729523
2021-12-11 21:15:00,30.193016
2021-12-11 21:30:00,28.883514
2021-12-11 21:45:00,24.992188
2021-12-11 22:00:00,22.25499
2021-12-11 22:15:00,18.52787
2021-12-11 22:30:00,17.505898
2021-12-11 22:45:00,16.449821
2021-12-11 23:00:00,17.47696
2021-12-11 23:15:00,16.777435
2021-12-11 23:30:00,15.826599
2021-12-11 23:45:00,15.544998
2021-12-12 00:00:00,15.419235
2021-12-12 00:15:00,15.01342
2021-12-12 00:30:00,14.697075
2021-12-12 00:45:00,14.319702
2021-12-12 01:00:00,13.813232
2021-12-12 01:15:00,13.132843
2021-12-12 01:30:00,11.753288
2021-12-12 01:45:00,9.87233
2021-12-12 02:00:00,7.4740295
2021-12-12 02:15:00,4.4286957
2021-12-12 02:30:00,1.4058762
2021-12-12 02:45:00,-1.2671509
2021-12-12 03:00:00,-3.3422012
2021-12-12 03:15:00,-4.807083
2021-12-12 03:30:00,-5.666168
2021-12-12 03:45:00,-6.092453
2021-12-12 04:00:00,-6.2676773
2021-12-12 04:15:00,-6.3256226
2021-12-12 04:30:00,-6.337166
2021-12-12 04:45:00,-6.334427
2021-12-12 05:00:00,-6.3237686
2021-12-12 05:15:00,-6.304817
2021-12-12 05:30:00,-6.270241
2021-12-12 05:45:00,-6.1956863
2021-12-12 06:00:00,-6.0323257
2021-12-12 06:15:00,-5.6150436
2021-12-12 06:30:00,-4.5951233
2021-12-12 06:45:00,-2.4328613
2021-12-12 07:00:00,1.494873
2021-12-12 07:15:00,6.7076645
2021-12-12 07:30:00,10.342789
2021-12-12 07:45:00,11.631012
2021-12-12 08:00:00,11.612694
2021-12-12 08:15:00,11.663185
2021-12-12 08:30:00,11.726875
2021-12-12 08:45:00,11.906006
2021-12-12 09:00:00,12.589539
2021-12-12 09:15:00,13.018959
2021-12-12 09:30:00,13.208244
2021-12-12 09:45:00,13.69442
2021-12-12 10:00:00,20.559807
2021-12-12 10:15:00,34.98474
2021-12-12 10:30:00,54.129425
2021-12-12 10:45:00,70.24565
2021-12-12 11:00:00,109.72613
2021-12-12 11:15:00,126.08978
2021-12-12 11:30:00,137.17648
2021-12-12 11:45:00,152.64304
2021-12-12 12:00:00,167.90575
2021-12-12 12:15:00,175.32628
2021-12-12 12:30:00,181.18579
2021-12-12 12:45:00,187.14182
2021-12-12 13:00:00,185.8872
2021-12-12 13:15:00,200.04155
2021-12-12 13:30:00,227.711
2021-12-12 13:45:00,240.3645
2021-12-12 14:00:00,242.26166
2021-12-12 14:15:00,263.38596
2021-12-12 14:30:00,288.04135
2021-12-12 14:45:00,306.4816
2021-12-12 15:00:00,337.19873
2021-12-12 15:15:00,350.04947
2021-12-12 15:30:00,348.74658
2021-12-12 15:45:00,358.20786
2021-12-12 16:00:00,366.58563
2021-12-12 16:15:00,327.5619
2021-12-12 16:30:00,271.31747
2021-12-12 16:45:00,240.20941
2021-12-12 17:00:00,230.10182
2021-12-12 17:15:00,221.48677
2021-12-12 17:30:00,192.07333
2021-12-12 17:45:00,173.33899
2021-12-12 18:00:00,141.1594
2021-12-12 18:15:00,111.74392
2021-12-12 18:30:00,62.52631
2021-12-12 18:45:00,56.107933
2021-12-12 19:00:00,41.95484
2021-12-12 19:15:00,37.247208
2021-12-12 19:30:00,38.807518
2021-12-12 19:45:00,43.308235
2021-12-12 20:00:00,27.282295
2021-12-12 20:15:00,25.906578
2021-12-12 20:30:00,27.009941
2021-12-12 20:45:00,24.870293
2021-12-12 21:00:00,18.694138
